dataset,fpr,tpr
2021_Team01_hcp,0.030898808223500572,0.5104529616724739
2021_Team01_hcp,0.03252506128789534,0.5226480836236934
2021_Team01_hcp,0.034175586786087044,0.5383275261324042
2021_Team01_hcp,0.035729022549090994,0.5522648083623694
2021_Team01_hcp,0.03779217942183063,0.5679442508710801
2021_Team01_hcp,0.03986747251146872,0.5853658536585366
2021_Team01_hcp,0.041857812082817546,0.60801393728223
2021_Team01_hcp,0.04435787276390204,0.6167247386759582
2021_Team01_hcp,0.046384620985946264,0.627177700348432
2021_Team01_hcp,0.048350688123498145,0.6411149825783972
2021_Team01_hcp,0.05064443311730867,0.6550522648083623
2021_Team01_hcp,0.05299885919561154,0.6672473867595818
2021_Team01_hcp,0.05525619553872667,0.6794425087108014
2021_Team01_hcp,0.05753780431563873,0.6898954703832753
2021_Team01_hcp,0.06019563581640331,0.7003484320557491
2021_Team01_hcp,0.0629626932692541,0.705574912891986
2021_Team01_hcp,0.0656933420714095,0.7229965156794426
2021_Team01_hcp,0.06844826330736183,0.7264808362369338
2021_Team01_hcp,0.0707662807349693,0.7386759581881533
2021_Team01_hcp,0.07339983980193694,0.7456445993031359
2021_Team01_hcp,0.07619116968858468,0.7578397212543554
2021_Team01_hcp,0.07884900118934926,0.7613240418118467
2021_Team01_hcp,0.08187091919706789,0.7665505226480837
2021_Team01_hcp,0.08503847180756814,0.7752613240418118
2021_Team01_hcp,0.08844874875603777,0.7839721254355401
2021_Team01_hcp,0.09174979975242117,0.7874564459930313
2021_Team01_hcp,0.09488094371222602,0.7996515679442509
2021_Team01_hcp,0.0981577222748125,0.813588850174216
2021_Team01_hcp,0.10148304570499284,0.818815331010453
2021_Team01_hcp,0.10517245564212724,0.8257839721254355
2021_Team01_hcp,0.1086434136750892,0.8344947735191638
2021_Team01_hcp,0.11207796305735576,0.8397212543554007
2021_Team01_hcp,0.11568241947620088,0.8466898954703833
2021_Team01_hcp,0.11967523483579698,0.8501742160278746
2021_Team01_hcp,0.1237044588460885,0.872822299651568
2021_Team01_hcp,0.128122041797131,0.8867595818815331
2021_Team01_hcp,0.13243039879608728,0.8972125435540069
2021_Team01_hcp,0.13686011796402825,0.9076655052264808
2021_Team01_hcp,0.14137479065025851,0.9198606271777003
2021_Team01_hcp,0.14608364280686426,0.9250871080139372
2021_Team01_hcp,0.15158134906187043,0.9285714285714286
2021_Team01_hcp,0.15672710502682105,0.9337979094076655
2021_Team01_hcp,0.16215199398043642,0.9425087108013938
2021_Team01_hcp,0.16760115536784873,0.9477351916376306
2021_Team01_hcp,0.1739241243719508,0.9547038327526133
2021_Team01_hcp,0.1798223257846064,0.9581881533101045
2021_Team01_hcp,0.18580548071555134,0.9599303135888502
2021_Team01_hcp,0.19284448651666303,0.9599303135888502
2021_Team01_hcp,0.1994951333770237,0.9651567944250871
2021_Team01_hcp,0.20640064079225223,0.9703832752613241
2021_Team01_hcp,0.21426490934245976,0.9721254355400697
2021_Team01_hcp,0.22172868273501783,0.975609756097561
2021_Team01_hcp,0.22884050583752033,0.980836236933798
2021_Team01_hcp,0.23700817981018957,0.980836236933798
2021_Team01_hcp,0.24475108619141242,0.9825783972125436
2021_Team01_hcp,0.2526396271754169,0.9825783972125436
2021_Team01_hcp,0.2611107065705478,0.9878048780487805
2021_Team01_hcp,0.2696181946163742,0.9878048780487805
2021_Team01_hcp,0.2784169518677638,0.9895470383275261
2021_Team01_hcp,0.287361343721935,0.9895470383275261
2021_Team01_hcp,0.29557756256219814,0.9895470383275261
2021_Team02_hcp,0.0,0.0017421602787456446
2021_Team02_hcp,0.005121483531153668,0.14111498257839722
2021_Team02_hcp,0.010473555183378237,0.25261324041811845
2021_Team02_hcp,0.016056214956673705,0.3240418118466899
2021_Team02_hcp,0.021857326634141604,0.36585365853658536
2021_Team02_hcp,0.027306488021553922,0.4268292682926829
2021_Team02_hcp,0.03284060292725552,0.46689895470383275
2021_Team02_hcp,0.03832617296536324,0.4930313588850174
2021_Team02_hcp,0.04393310517245564,0.5261324041811847
2021_Team02_hcp,0.055122697152843514,0.5923344947735192
2021_Team02_hcp,0.0659239301924804,0.6567944250871081
2021_Team02_hcp,0.08252627490958518,0.740418118466899
2021_Team02_hcp,0.10923808830311416,0.8205574912891986
2021_Team02_hcp,0.16744338454816865,0.9163763066202091
2021_Team02_hcp,0.22194713463919027,0.9442508710801394
2021_Team02_hcp,0.28707007451637173,0.9651567944250871
2021_Team03_hcp,0.0016626617150901721,0.06445993031358885
2021_Team03_hcp,0.0018204325347702614,0.06445993031358885
2021_Team03_hcp,0.0019417947037549455,0.06620209059233449
2021_Team03_hcp,0.0020267482220442242,0.07142857142857142
2021_Team03_hcp,0.0021117017403335034,0.07142857142857142
2021_Team03_hcp,0.002233063909318187,0.078397212543554
2021_Team03_hcp,0.00236656229520134,0.08013937282229965
2021_Team03_hcp,0.0025364693317798974,0.08188153310104529
2021_Team03_hcp,0.0027427850190538607,0.08362369337979095
2021_Team03_hcp,0.0029491007063278236,0.08536585365853659
2021_Team03_hcp,0.0031554163936017864,0.09233449477351917
2021_Team03_hcp,0.0033617320808757493,0.09407665505226481
2021_Team03_hcp,0.0036044564188451177,0.0975609756097561
2021_Team03_hcp,0.0038471807568144856,0.10104529616724739
2021_Team03_hcp,0.004259812131362411,0.10801393728222997
2021_Team03_hcp,0.004878759193184301,0.12195121951219512
2021_Team03_hcp,0.00541275273671691,0.13763066202090593
2021_Team03_hcp,0.006116653316828078,0.15505226480836237
2021_Team03_hcp,0.006844826330736183,0.1759581881533101
2021_Team03_hcp,0.007961358285395277,0.18641114982578397
2021_Team03_hcp,0.009065754023155901,0.1986062717770035
2021_Team03_hcp,0.009187116192140585,0.20034843205574912
2021_Team03_hcp,0.00930847836112527,0.20209059233449478
2021_Team03_hcp,0.009478385397703827,0.20209059233449478
2021_Team03_hcp,0.00961188378358698,0.20209059233449478
2021_Team03_hcp,0.009781790820165538,0.20905923344947736
2021_Team03_hcp,0.009927425422947158,0.21080139372822299
2021_Team03_hcp,0.010109468676424186,0.21254355400696864
2021_Team03_hcp,0.01023083084540887,0.21428571428571427
2021_Team03_hcp,0.010425010315784364,0.21428571428571427
2021_Team03_hcp,0.010619189786159859,0.21602787456445993
